8;7::1;6::2;6::1::1;5::3;5::2::1;5::1::1::1;4::4;4::3::1;4::2::2;4::2::1::1;4::1::1::1::1;3::3::2;3::3::1::1;3::2::2::1;3::2::1::1::1;3::1::1::1::1::1;2::2::2::2;2::2::2::1::1;2::2::1::1::1::1;2::1::1::1::1::1::1;1::1::1::1::1::1::1::1
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;2.0;3.0;0.0;6.0;1.0;0.0;3.0;2.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;2.0;4.0;0.0;9.0;2.0;0.0;5.0;6.0;3.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;2.0;4.0;0.0;10.0;2.0;0.0;6.0;8.0;4.0;0.0;0.0;10.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;2.0;4.0;0.0;9.0;2.0;0.0;5.0;6.0;3.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;2.0;3.0;0.0;6.0;1.0;0.0;3.0;2.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
